Emotion;Emotion_Value;File;Predominant_Color;Number_Of_Colors;Surface_Colored
Negative;1;audio_378.wav;yellow;7;18.3
Negative;1;audio_379.wav;yellow;5;19.6
Positive;0;audio_38.wav;gold;8;40.1
Negative;1;audio_380.wav;yellow;5;7.3
Negative;1;audio_381.wav;sienna;4;11.8
Negative;1;audio_382.wav;lightslategray;3;7.3
Negative;1;audio_383.wav;lime;5;16.4
Negative;1;audio_384.wav;darkturquoise;4;5.6
Negative;1;audio_385.wav;blue;2;2.2
Negative;1;audio_386.wav;blue;2;18.7
Negative;1;audio_387.wav;yellow;3;3.9
Negative;1;audio_388.wav;lime;4;4.2
Negative;1;audio_389.wav;yellow;4;16.5
Negative;1;audio_390.wav;steelblue;4;8.1
Negative;1;audio_391.wav;black;7;61.3
Negative;1;audio_392.wav;black;4;8.9
Positive;0;audio_393.wav;blue;5;8.6
Negative;1;audio_394.wav;red;6;5.3
Positive;0;audio_395.wav;red;3;12.6
Negative;1;audio_396.wav;lime;1;3.8
Positive;0;audio_397.wav;midnightblue;6;15.0
Negative;1;audio_398.wav;red;4;6.8
Negative;1;audio_399.wav;blue;5;13.8
Negative;1;audio_4.wav;black;4;2.9
Negative;1;audio_40.wav;black;1;18.8
Positive;0;audio_400.wav;red;2;3.6
Positive;0;audio_401.wav;lime;3;24.2
Positive;0;audio_402.wav;lime;3;30.0
Negative;1;audio_403.wav;blue;3;6.4
Positive;0;audio_404.wav;lime;3;1.1
Negative;1;audio_405.wav;yellow;4;9.9
Negative;1;audio_406.wav;yellow;4;4.6
Negative;1;audio_407.wav;lime;3;3.5
Negative;1;audio_408.wav;black;3;3.8
Negative;1;audio_409.wav;darkcyan;10;35.5
Negative;1;audio_41.wav;indianred;8;37.2
Negative;1;audio_410.wav;yellow;4;26.4
Negative;1;audio_411.wav;yellow;5;52.4
Negative;1;audio_412.wav;palevioletred;4;16.4
Negative;1;audio_413.wav;yellow;8;24.4
Negative;1;audio_414.wav;red;4;10.5
Negative;1;audio_416.wav;red;1;5.6
Positive;0;audio_417.wav;darkolivegreen;7;13.4
Negative;1;audio_418.wav;lime;10;45.0
Positive;0;audio_419.wav;red;3;15.6
Negative;1;audio_42.wav;lime;4;9.5
Negative;1;audio_420.wav;black;5;6.4
Negative;1;audio_421.wav;blue;7;8.7
Positive;0;audio_422.wav;sienna;7;7.9
Negative;1;audio_423.wav;darksalmon;11;18.9
Negative;1;audio_424.wav;red;3;13.3
Negative;1;audio_425.wav;black;1;3.5
Negative;1;audio_426.wav;coral;2;7.4
Positive;0;audio_427.wav;blue;10;8.8
Negative;1;audio_428.wav;lime;1;8.3
Negative;1;audio_429.wav;darkgray;1;2.4
Negative;1;audio_43.wav;yellow;4;10.1
Positive;0;audio_430.wav;lime;8;20.3
Negative;1;audio_431.wav;blue;3;9.7
Positive;0;audio_432.wav;blue;11;59.9
Negative;1;audio_433.wav;blue;7;17.8
Negative;1;audio_434.wav;lime;3;5.8
Positive;0;audio_435.wav;yellow;4;13.8
Positive;0;audio_436.wav;lime;6;52.4
Positive;0;audio_437.wav;lime;6;51.9
Negative;1;audio_438.wav;coral;3;9.9
Positive;0;audio_439.wav;red;1;8.1
Negative;1;audio_44.wav;black;8;25.6
Negative;1;audio_440.wav;blue;5;7.7
Positive;0;audio_441.wav;lime;8;22.5
Negative;1;audio_442.wav;blue;4;6.1
Positive;0;audio_443.wav;lime;11;59.9
Negative;1;audio_444.wav;yellow;2;2.4
Negative;1;audio_445.wav;red;4;6.7
Positive;0;audio_446.wav;lime;3;32.6
Negative;1;audio_447.wav;darkturquoise;6;21.9
Negative;1;audio_448.wav;blue;5;4.8
Negative;1;audio_449.wav;darkturquoise;6;4.7
Negative;1;audio_45.wav;red;1;4.1
Negative;1;audio_450.wav;darkturquoise;5;41.4
Negative;1;audio_451.wav;red;4;5.9
Negative;1;audio_452.wav;yellow;6;5.3
Negative;1;audio_453.wav;blue;1;14.4
Negative;1;audio_454.wav;dimgray;7;6.6
Positive;0;audio_455.wav;lime;3;24.8
Positive;0;audio_456.wav;yellow;4;11.1
Negative;1;audio_457.wav;lime;2;16.1
Positive;0;audio_458.wav;blue;6;6.0
Negative;1;audio_459.wav;yellow;6;10.2
Negative;1;audio_46.wav;red;1;15.6
Positive;0;audio_460.wav;black;6;6.2
Negative;1;audio_461.wav;red;4;3.0
Positive;0;audio_462.wav;gold;3;1.1
Positive;0;audio_463.wav;black;1;21.5
